epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5295,0.76337,2.40161,1.24836,0.00327,1,0.90451,0.64306,0.37895,2.92293,1.02033,0.00012,0.00012,0.00012
2,87.0973,0.52832,1.58577,1.07211,0.00327,1,0.98291,0.85052,0.44298,2.65298,1.06987,0.000254852,0.000254852,0.000254852
3,132.534,0.57346,1.13762,1.09009,0.97351,1,0.9937,0.88957,0.46558,2.56194,1.07726,0.00038416,0.00038416,0.00038416
4,181.206,0.53971,0.95702,1.0479,0.95756,1,0.98652,0.86668,0.5436,1.90361,1.25723,0.000507924,0.000507924,0.000507924
5,227.744,0.59793,0.99962,1.10733,0.93163,0.90566,0.95918,0.74923,0.66558,1.77919,1.42211,0.000626144,0.000626144,0.000626144
6,282.484,0.6161,1.01965,1.13523,0.9756,0.96226,0.97445,0.84214,0.59922,1.69743,1.31038,0.00073882,0.00073882,0.00073882
7,358,0.60669,0.94434,1.09133,0.96363,0.99979,0.97641,0.84867,0.53148,1.53538,1.18627,0.000845952,0.000845952,0.000845952
8,472.091,0.61171,0.96642,1.07687,0.97971,1,0.97944,0.83594,0.56729,1.42041,1.25755,0.00094754,0.00094754,0.00094754
9,649.352,0.60262,0.92735,1.08747,0.97937,1,0.98037,0.86106,0.51026,1.35868,1.18668,0.00104358,0.00104358,0.00104358
10,872.088,0.54529,0.84122,1.06281,0.98145,0.99837,0.98352,0.83369,0.5926,1.40633,1.26799,0.00113408,0.00113408,0.00113408
11,1030.2,0.58745,0.847,1.06497,0.95868,1,0.9803,0.84098,0.62574,1.34022,1.31374,0.00121904,0.00121904,0.00121904
12,1224.96,0.58758,0.85278,1.09816,0.97543,1,0.985,0.84272,0.61946,1.38004,1.36754,0.00129845,0.00129845,0.00129845
13,1344.74,0.58372,0.80814,1.0587,0.98145,0.99826,0.98778,0.87396,0.53864,1.31757,1.22656,0.00137232,0.00137232,0.00137232
14,1467.94,0.58534,0.7963,1.07005,0.98145,0.99826,0.98778,0.87396,0.53864,1.31757,1.22656,0.00144064,0.00144064,0.00144064
15,1593.65,0.56871,0.79301,1.06537,0.93165,0.98113,0.9847,0.78083,0.90478,2.25126,1.4763,0.0014456,0.0014456,0.0014456
16,1712.13,0.59562,0.80991,1.11524,0.89635,0.97899,0.91669,0.6492,0.85555,2.00727,1.41195,0.001406,0.001406,0.001406
17,1828.99,0.60869,0.83481,1.092,0.97931,1,0.97833,0.86051,0.54642,1.10834,1.16462,0.0013664,0.0013664,0.0013664
18,1938.59,0.57763,0.77164,1.08235,0.96016,1,0.98313,0.85396,0.55115,1.1647,1.1621,0.0013268,0.0013268,0.0013268
